"","Year","Month","State","Location","Food","Species","Ingredient","Serotype.Genotype","Illnesses","Hospitalizations","Fatalities","Status"
"364",1998,4,10,1,175,7,6,9,18,0,0,1
"365",1998,4,10,1,176,7,6,9,15,0,0,1
"366",1998,4,11,9,37,20,6,9,18,0,0,0
"367",1998,4,11,7,37,7,6,9,14,0,0,1
"368",1998,4,11,1,10,9,6,9,5,0,0,0
"369",1998,4,12,1,177,3,5,13,209,47,0.0217167160716587,1
"370",1998,4,13,16,178,6,6,9,12,0,0,0
"371",1998,4,13,1,151,21,6,9,5,2,0,1
"372",1998,4,13,1,179,6,6,9,18,0,0,0
"373",1998,4,13,1,142,7,6,9,16,0,0,1
"374",1998,4,13,16,37,7,6,9,12,0.94752807538402,0.0217167160716587,1
"375",1998,4,15,1,37,7,6,9,2,0,0,1
"376",1998,4,15,1,37,7,6,9,2,0,0,1
"377",1998,4,15,1,180,7,6,9,4,0,0,1
"378",1998,4,15,1,42,7,6,9,5,0,0,1
"379",1998,4,15,1,181,9,6,9,2,0,0,1
"380",1998,4,15,1,37,7,6,9,3,0,0,1
"381",1998,4,15,1,37,7,6,9,4,1,0,1
"382",1998,4,15,1,182,7,6,9,800,4,0,1
"383",1998,4,15,1,183,7,6,9,2,0,0,1
"384",1998,4,15,1,184,7,6,9,4,0.94752807538402,0,1
"385",1998,4,15,1,185,7,6,9,2,0,0,1
"386",1998,4,16,1,186,7,6,9,16,0,0,1
"387",1998,4,17,5,37,7,6,9,20,0,0,1
"388",1998,4,17,1,37,6,6,9,3,0.94752807538402,0.0217167160716587,1
"389",1998,4,17,1,37,7,6,9,5,0,0,1
"390",1998,4,17,1,187,7,6,9,21,0,0,1
"391",1998,4,18,1,37,22,6,9,18,0.94752807538402,0.0217167160716587,0
"392",1998,4,18,1,188,7,6,9,15,0.94752807538402,0.0217167160716587,1
"393",1998,4,18,1,37,7,6,9,2,0.94752807538402,0.0217167160716587,1
"394",1998,4,31,1,189,3,6,2,22,2,0,1
"395",1998,4,19,1,147,2,6,9,6,0.94752807538402,0.0217167160716587,1
"396",1998,4,19,1,6,7,6,9,67,0.94752807538402,0.0217167160716587,1
"397",1998,4,19,5,190,3,6,11,9,0.94752807538402,0,1
"398",1998,4,20,10,37,7,6,9,27,0.94752807538402,0.0217167160716587,1
"399",1998,4,20,3,191,23,6,9,3,0,0,1
"400",1998,4,20,1,37,7,6,9,2,0,0,1
"401",1998,4,20,1,37,7,6,9,2,0,0,1
"402",1998,4,20,1,37,7,6,9,8,0,0,1
"403",1998,4,20,1,192,7,6,9,5,0,0,1
"404",1998,4,21,1,37,7,6,9,22,1,0,1
"405",1998,4,21,1,37,7,6,9,13,0,0,1
"406",1998,5,1,5,37,5,6,9,38,0.94752807538402,0.0217167160716587,0
"407",1998,5,1,1,193,7,6,9,100,0.94752807538402,0.0217167160716587,1
"408",1998,5,1,1,37,7,6,9,40,0.94752807538402,0.0217167160716587,1
"409",1998,5,1,1,37,3,6,14,6,3,0,1
"410",1998,5,1,1,37,7,6,9,31,0,0,1
"411",1998,5,1,1,37,7,6,9,6,0,0,1
"412",1998,5,1,3,37,7,6,9,13,0,0,1
"413",1998,5,1,3,194,12,6,9,8,0,0,1
"414",1998,5,1,1,37,24,6,15,3,1,0,1
"415",1998,5,1,3,195,7,6,9,30,0,0,1
"416",1998,5,1,3,37,7,6,9,10,0,0,1
"417",1998,5,1,5,37,7,6,9,16,0,0,1
"418",1998,5,1,3,37,7,6,9,15,0,0,1
"419",1998,5,1,3,195,7,6,9,16,0,0,1
"420",1998,5,1,1,37,7,6,9,61,0,0,1
"421",1998,5,1,1,191,7,6,9,5,0,0,1
"422",1998,5,2,1,196,5,6,9,6,0.94752807538402,0.0217167160716587,0
"423",1998,5,3,1,37,6,6,9,2,0,0,0
"424",1998,5,3,1,44,7,6,9,3,0,0,1
"425",1998,5,3,1,42,7,6,9,3,0,0,1
"426",1998,5,3,1,37,6,6,9,5,0.94752807538402,0.0217167160716587,0
"427",1998,5,3,1,6,3,6,9,3,0,0,0
"428",1998,5,3,1,151,7,6,9,23,0,0,0
"429",1998,5,3,1,91,7,6,9,7,0,0,1
"430",1998,5,3,1,197,7,6,9,2,0,0,1
"431",1998,5,3,1,91,7,6,9,3,0,0,1
"432",1998,5,3,1,34,7,6,9,3,0,0,1
"433",1998,5,3,1,198,7,6,9,3,0,0,1
